ID,cityID,pet,rent,space,lat,lng,label,floor,unit,transport,twd97,food:avgcost,tag:pet,tag:transport,tag:capital,tag:home,tag:sport,tag:culture,tag:safe,tag:food
38,112,N,35000,36.0,25.1186875,121.52384950000001,住,3,972.2222222222223,2,"(302826.93120635184, 2779026.22633815)",327.43243243243245,False,False,False,True,False,False,False,False
39,116,N,20000,30.12,24.9813948,121.5594878,住,4,664.0106241699867,2,"(306483.778781567, 2763833.291300013)",173.09375,False,False,False,True,False,False,False,False
40,116,Y,60000,50.43,24.9908527,121.54238400000001,住,1,1189.767995240928,3,"(304752.82062111143, 2764873.8813744173)",141.23239436619718,True,False,False,True,False,False,False,False
41,116,N,23000,26.51,24.9866234,121.56087520000001,住,1,867.597133157299,2,"(306621.45374421997, 2764413.015598452)",143.3181818181818,False,False,False,True,False,False,False,False
42,116,N,15000,9.47,24.9874844,121.5766531,住,5,1583.9493136219642,2,"(308213.89265148994, 2764515.0637351163)",126.87878787878788,False,False,False,True,False,False,False,False
43,116,N,38000,44.03,24.9952766,121.55968519999999,住,6,863.0479218714513,3,"(306497.3627950706, 2765370.991881714)",158.8,False,False,False,True,False,False,False,False
44,108,Y,12000,14.68,25.0190604,121.49465479999999,住,3,817.4386920980928,2,"(299923.1487301424, 2767979.8723360733)",65.78571428571429,True,False,False,True,False,False,False,False
45,108,Y,35000,37.0,25.046564899999996,121.50702959999998,住,6,945.945945945946,3,"(301160.69106239814, 2771031.028410289)",213.74809160305344,True,True,False,True,True,True,True,True
46,108,Y,28000,20.74,25.046564899999996,121.50702959999998,住,7,1350.0482160077147,3,"(301160.69106239814, 2771031.028410289)",213.74809160305344,True,True,False,True,True,True,True,True
47,108,N,32000,33.24,25.023178299999998,121.5027112,住,10,962.6955475330926,2,"(300734.56344232766, 2768438.984122541)",178.1875,False,False,False,True,False,False,False,False
48,234,Y,48000,70.7,25.0089307,121.50930079999999,住,8,678.9250353606789,3,"(301405.54177617864, 2766863.334834864)",152.88111888111888,True,False,False,True,True,False,False,True
